Date,Model,Device,Type,TPT,FPT,CPT,ACMDR,SCT,AIT,SIM,NIGHT,HLL,LLL,P,6.0,F,1,2.0,A,B,Record,T&R,Role,Sorties,NT,SIT,IPT,NVG,Mission Code,CAT/JATO,Remarks,DayLdg,NPS,PS,NightLdg,NPA,PA,ShipArrest,Time,Approaches,PIC,SIC
2014-06-18 00:00:00,KC-130J,167983,Aircraft,3.0,1.5,1.5,,,1.0,,,,,,1.0,,1.0,,,,GL312YC,,COPILOT,1,,,,,,,,,,,,,,,,,,3.0
2014-06-24 00:00:00,KC-130J,167925,Aircraft,0.5,0.2,0.3,,,0.5,,,,,,,,,,,,GL312Z6,,COPILOT,1,,,,,,,,,,,,,,,,,,0.5
2014-06-24 00:00:00,KC-130J,167923,Aircraft,0.5,0.2,0.3,,,0.5,,,,,,1.0,,1.0,,,,GL312Z4,,COPILOT,1,,,,,,,,,,,,,,,,,,0.5
2014-06-25 00:00:00,KC-130J,167983,Aircraft,1.4,0.7,0.7,,2.8,0.2,,,,,,1.0,,,,,,GL312Z8,"3500, 3705, 3503, 3704",COPILOT,1,,,,,,,,,,,,,,,,,,1.4
2014-07-01 00:00:00,KC-130J,168074,Aircraft,0.5,0.2,0.3,,,,,,,,,2.0,,,,,,GL31301,,COPILOT,1,,,,,,,,,,,,,,,,,,0.5
2014-07-01 00:00:00,KC-130J,167925,Aircraft,0.6,0.3,0.3,,,,0.3,,,,,2.0,,,,1.0,1.0,GL31303,,COPILOT,1,,,,,,,,,,,,,,,,,,0.6
2014-07-06 00:00:00,KC-130J,168066,Aircraft,2.9,1.4,1.5,,,0.5,0.5,,,,,,,,,,,GL3130K,,COPILOT,1,,,,,,,,,,,,,,,,,,2.9
2014-07-10 00:00:00,KC-130J,167982,Aircraft,3.7,1.8,1.9,,,1.5,0.5,,,,,,,,,,,GL3130T,,COPILOT,1,,,,,,,,,,,,,,,,,,3.7
2014-07-15 00:00:00,KC-130J,168065,Aircraft,1.3,0.7,0.6,,0.6,,0.3,,,,,1.0,,,,1.0,,GL3131R,,COPILOT,1,,,,,,,,,,,,,,,,,,1.3
2014-07-24 00:00:00,KC-130J,167927,Aircraft,6.6,3.3,3.3,,,,1.0,3.0,,,,1.0,1.0,,,,2.0,GL3132X,3600,COPILOT,1,,,,,,,,,,,,,,,,,,6.6
2014-08-19 00:00:00,KC-130J,167981,Aircraft,3.7,1.9,1.8,,3.3,3.5,,0.5,,,,1.0,1.0,1.0,1.0,,,GL3135M,6120,COPILOT,1,,,,,,,,,,,,,,,,,,3.7
2014-08-25 00:00:00,KC-130J,167923,Aircraft,1.8,0.9,0.9,,,,0.5,,,,,,,,,,,GL31366,,COPILOT,1,,,,,,,,,,,,,,,,,,1.8
